2020.07.08 10:01:00 INFO  web[][DbMigrations] #3003 'Populate ProjectQualityGate table from Properties table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3003 'Populate ProjectQualityGate table from Properties table': success | time=18ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3004 'Rename ANALYSIS_PROPERTIES.SNAPSHOT_UUID to ANALYSIS_UUID'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3004 'Rename ANALYSIS_PROPERTIES.SNAPSHOT_UUID to ANALYSIS_UUID': success | time=8ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3005 'Remove default quality gate property from Properties table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3005 'Remove default quality gate property from Properties table': success | time=5ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3006 'Create NEW_CODE_PERIOD table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3006 'Create NEW_CODE_PERIOD table': success | time=12ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table': success | time=12ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3008 'Remove leak period properties'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3008 'Remove leak period properties': success | time=5ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3009 'Remove GitHub login generation strategy property'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3009 'Remove GitHub login generation strategy property': success | time=5ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3100 'Create ALM_SETTINGS table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3100 'Create ALM_SETTINGS table': success | time=10ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3101 'Create PROJECT_ALM_SETTINGS table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3101 'Create PROJECT_ALM_SETTINGS table': success | time=13ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3102 'Migrate property 'sonar.alm.github.app.privateKey.secured' to 'sonar.alm.github.app.privateKeyContent.secured''...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3102 'Migrate property 'sonar.alm.github.app.privateKey.secured' to 'sonar.alm.github.app.privateKeyContent.secured'': success | time=14ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3103 'Migrate GitHub ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3103 'Migrate GitHub ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=8ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3104 'Migrate Bitbucket ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3104 'Migrate Bitbucket ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=8ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3105 'Migrate Azure ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3105 'Migrate Azure ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=7ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property'...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property': success | time=12ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting': success | time=17ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column': success | time=11ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column': success | time=5ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex''...
