127.0.0.1 - - [20/Jul/2020:09:58:02 -0400] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt&activation=true&qprofile=AXMuu3QIQxSe0PHI1YTD&ps=500&p=1 HTTP/1.1" 200 906 "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAAS"
127.0.0.1 - - [20/Jul/2020:09:58:02 -0400] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt&activation=true&qprofile=AXMuu3XNQxSe0PHI1YWS&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAAT"
127.0.0.1 - - [20/Jul/2020:09:58:02 -0400] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt&activation=true&qprofile=AXMuu3evQxSe0PHI1Yay&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAAU"
127.0.0.1 - - [20/Jul/2020:09:58:02 -0400] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt&activation=true&qprofile=AXMuu3iWQxSe0PHI1Ydl&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAAV"
127.0.0.1 - - [20/Jul/2020:09:58:03 -0400] "GET /api/metrics/search?f=name,description,direction,qualitative,custom&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAAW"
127.0.0.1 - - [20/Jul/2020:09:58:07 -0400] "GET /batch/project.protobuf?key=test1 HTTP/1.1" 200 91 "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAAX"
127.0.0.1 - - [20/Jul/2020:09:58:08 -0400] "POST /api/ce/submit?projectKey=test1&projectName=test1 HTTP/1.1" 200 44 "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAAY"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:09 -0400] "GET /api/issues/search?componentKeys=test1 HTTP/1.1" 200 - "-" "python-requests/2.21.0" "AXNshDS5+j+WGcirAAAZ"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAa"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /api/navigation/global HTTP/1.1" 200 519 "http://localhost:9000/" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAb"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /js/app-493df0b3.m.f7115952.chunk.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAf"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /js/vendors-app-3f764be9.m.95447966.chunk.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAe"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /api/users/current HTTP/1.1" 200 112 "http://localhost:9000/" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAd"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /api/l10n/index?locale=en-US&ts=2020-07-17T20%3A58%3A23%2B0000 HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAc"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /api/languages/list HTTP/1.1" 200 479 "http://localhost:9000/" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAg"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /images/logo.svg?v=6.6 HTTP/1.1" 304 - "http://localhost:9000/about" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAk"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /images/scanner-logos/sonarqube.svg HTTP/1.1" 304 - "http://localhost:9000/about" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAl"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /images/scanner-logos/msbuild.svg HTTP/1.1" 304 - "http://localhost:9000/about" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAm"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /images/scanner-logos/maven.svg HTTP/1.1" 304 - "http://localhost:9000/about" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAn"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /images/scanner-logos/gradle.svg HTTP/1.1" 304 - "http://localhost:9000/about" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAo"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /api/settings/values?keys=sonar.lf.aboutText HTTP/1.1" 200 15 "http://localhost:9000/about" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAi"
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:58:30 -0400] "GET /images/scanner-logos/jenkins.svg HTTP/1.1" 304 - "http://localhost:9000/about" "Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36" "AXNshDS5+j+WGcirAAAq"
