127.0.0.1 - - [21/Jul/2020:11:39:46 -0400] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt&activation=true&qprofile=AXMuu3evQxSe0PHI1Yay&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAMc"
127.0.0.1 - - [21/Jul/2020:11:39:46 -0400] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt&activation=true&qprofile=AXMuu3iWQxSe0PHI1Ydl&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAMd"
127.0.0.1 - - [21/Jul/2020:11:39:47 -0400] "GET /api/metrics/search?f=name,description,direction,qualitative,custom&ps=500&p=1 HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAMe"
127.0.0.1 - - [21/Jul/2020:11:39:49 -0400] "GET /batch/project.protobuf?key=test1 HTTP/1.1" 200 148 "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAMf"
127.0.0.1 - - [21/Jul/2020:11:39:57 -0400] "POST /api/ce/submit?projectKey=test1&projectName=test1 HTTP/1.1" 200 44 "-" "ScannerCLI/4.4.0.2170" "AXNshDS5+j+WGcirAAMg"
0:0:0:0:0:0:0:1 - - [21/Jul/2020:11:39:58 -0400] "GET /api/issues/search?componentKeys=test1&resolved=false HTTP/1.1" 200 - "-" "python-requests/2.21.0" "AXNshDS5+j+WGcirAAMh"
0:0:0:0:0:0:0:1 - - [21/Jul/2020:12:36:55 -0400] "GET /api/system/status HTTP/1.1" 200 82 "-" "python-requests/2.21.0" "-"
0:0:0:0:0:0:0:1 - - [21/Jul/2020:12:37:00 -0400] "GET /api/system/status HTTP/1.1" 200 82 "-" "python-requests/2.21.0" "-"
0:0:0:0:0:0:0:1 - - [21/Jul/2020:12:37:05 -0400] "GET /api/system/status HTTP/1.1" 200 82 "-" "python-requests/2.21.0" "-"
0:0:0:0:0:0:0:1 - - [21/Jul/2020:12:37:10 -0400] "GET /api/system/status HTTP/1.1" 200 82 "-" "python-requests/2.21.0" "-"
0:0:0:0:0:0:0:1 - - [21/Jul/2020:12:37:15 -0400] "GET /api/system/status HTTP/1.1" 200 82 "-" "python-requests/2.21.0" "-"
0:0:0:0:0:0:0:1 - - [21/Jul/2020:12:37:20 -0400] "GET /api/system/status HTTP/1.1" 200 82 "-" "python-requests/2.21.0" "-"
0:0:0:0:0:0:0:1 - - [21/Jul/2020:12:37:26 -0400] "GET /api/system/status HTTP/1.1" 200 76 "-" "python-requests/2.21.0" "AXNyPK2KWExFZcQpAAAA"
127.0.0.1 - - [21/Jul/2020:12:37:28 -0400] "GET /batch/index HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNyPK2KWExFZcQpAAAB"
127.0.0.1 - - [21/Jul/2020:12:37:31 -0400] "GET /api/settings/values.protobuf HTTP/1.1" 200 4734 "-" "ScannerCLI/4.4.0.2170" "AXNyPK2KWExFZcQpAAAC"
127.0.0.1 - - [21/Jul/2020:12:37:31 -0400] "GET /api/plugins/installed HTTP/1.1" 200 - "-" "ScannerCLI/4.4.0.2170" "AXNyPK2KWExFZcQpAAAD"
